n,slots,val_delta,returncode,time_sec
40,12,0.05,1,60.497
40,12,0.05,1,60.488
40,12,0.1,1,60.518
40,12,0.1,1,60.517
40,12,0.15,1,60.535
40,12,0.15,1,60.532
40,16,0.05,1,60.537
40,16,0.05,1,60.581
40,16,0.1,1,60.553
40,16,0.1,1,60.608
40,16,0.15,1,60.666
40,16,0.15,1,60.628
60,12,0.05,1,60.56
60,12,0.05,1,60.636
60,12,0.1,1,60.626
60,12,0.1,1,60.699
60,12,0.15,1,60.66
60,12,0.15,1,60.651
60,16,0.05,1,60.794
60,16,0.05,1,60.71
60,16,0.1,1,60.797
60,16,0.1,1,60.768
60,16,0.15,1,60.83
60,16,0.15,1,60.748
80,12,0.05,1,60.745
80,12,0.05,1,60.75
80,12,0.1,1,60.73
80,12,0.1,1,60.716
80,12,0.15,1,60.816
80,12,0.15,1,60.734
80,16,0.05,1,60.87
80,16,0.05,1,60.894
80,16,0.1,1,60.911
80,16,0.1,1,60.87
80,16,0.15,1,60.93
80,16,0.15,1,61.036
100,12,0.05,1,60.971
100,12,0.05,1,60.967
100,12,0.1,1,61.013
100,12,0.1,1,61.024
100,12,0.15,1,60.939
100,12,0.15,1,60.961
100,16,0.05,1,61.111
100,16,0.05,1,61.103
100,16,0.1,1,61.128
100,16,0.1,1,61.142
100,16,0.15,1,61.17
100,16,0.15,1,61.158
