time,n,slots,val_delta,eng_delta,pop_avg,tolerance,returncode,time_sec
600,60,4,0.2,0.2,50,100,0,7.959
600,60,4,0.2,0.2,50,100,0,7.93
600,60,8,0.2,0.2,50,100,1,180.584
600,60,8,0.2,0.2,50,100,1,181.13
600,60,10,0.2,0.2,50,100,1,180.629
600,60,10,0.2,0.2,50,100,1,180.633
600,80,4,0.2,0.2,50,100,1,180.536
600,80,4,0.2,0.2,50,100,1,180.52
600,80,8,0.2,0.2,50,100,1,180.664
600,80,8,0.2,0.2,50,100,1,180.705
600,80,10,0.2,0.2,50,100,1,180.76
600,80,10,0.2,0.2,50,100,1,180.748
600,100,4,0.2,0.2,50,100,0,55.886
600,100,4,0.2,0.2,50,100,0,56.256
600,100,8,0.2,0.2,50,100,1,180.685
600,100,8,0.2,0.2,50,100,1,180.676
600,100,10,0.2,0.2,50,100,1,180.756
600,100,10,0.2,0.2,50,100,1,180.738
600,500,4,0.2,0.2,50,100,1,181.219
600,500,4,0.2,0.2,50,100,1,181.23
600,500,8,0.2,0.2,50,100,1,181.869
600,500,8,0.2,0.2,50,100,1,181.862
600,500,10,0.2,0.2,50,100,1,182.331
600,500,10,0.2,0.2,50,100,1,182.423
1000,60,4,0.2,0.2,50,100,0,102.957
1000,60,4,0.2,0.2,50,100,0,104.738
1000,60,8,0.2,0.2,50,100,1,180.611
1000,60,8,0.2,0.2,50,100,1,180.57
1000,60,10,0.2,0.2,50,100,1,180.667
1000,60,10,0.2,0.2,50,100,1,180.667
1000,80,4,0.2,0.2,50,100,0,0.683
1000,80,4,0.2,0.2,50,100,0,0.651
1000,80,8,0.2,0.2,50,100,1,180.678
1000,80,8,0.2,0.2,50,100,1,180.693
1000,80,10,0.2,0.2,50,100,1,180.786
1000,80,10,0.2,0.2,50,100,1,180.815
1000,100,4,0.2,0.2,50,100,0,18.1
1000,100,4,0.2,0.2,50,100,0,18.36
1000,100,8,0.2,0.2,50,100,1,180.765
1000,100,8,0.2,0.2,50,100,1,180.801
1000,100,10,0.2,0.2,50,100,1,180.862
1000,100,10,0.2,0.2,50,100,1,180.863
1000,500,4,0.2,0.2,50,100,0,20.656
1000,500,4,0.2,0.2,50,100,0,19.637
1000,500,8,0.2,0.2,50,100,1,182.197
1000,500,8,0.2,0.2,50,100,1,182.19
1000,500,10,0.2,0.2,50,100,1,182.415
1000,500,10,0.2,0.2,50,100,1,182.488
2000,60,4,0.2,0.2,50,100,1,180.525
2000,60,4,0.2,0.2,50,100,1,180.506
2000,60,8,0.2,0.2,50,100,0,69.23
2000,60,8,0.2,0.2,50,100,0,70.393
2000,60,10,0.2,0.2,50,100,0,70.662
2000,60,10,0.2,0.2,50,100,0,71.776
2000,80,4,0.2,0.2,50,100,1,180.847
2000,80,4,0.2,0.2,50,100,1,180.767
2000,80,8,0.2,0.2,50,100,0,22.66
2000,80,8,0.2,0.2,50,100,0,23.395
2000,80,10,0.2,0.2,50,100,0,1.507
2000,80,10,0.2,0.2,50,100,0,1.532
2000,100,4,0.2,0.2,50,100,1,180.673
2000,100,4,0.2,0.2,50,100,1,180.763
2000,100,8,0.2,0.2,50,100,0,1.594
2000,100,8,0.2,0.2,50,100,0,1.626
2000,100,10,0.2,0.2,50,100,0,14.035
2000,100,10,0.2,0.2,50,100,0,14.416
2000,500,4,0.2,0.2,50,100,1,242.876
2000,500,4,0.2,0.2,50,100,1,243.666
2000,500,8,0.2,0.2,50,100,0,25.54
2000,500,8,0.2,0.2,50,100,0,25.415
2000,500,10,0.2,0.2,50,100,0,12.765
2000,500,10,0.2,0.2,50,100,0,12.828
