time,n,slots,val_delta,eng_delta,pop_avg,tolerance,seed,returncode,time_sec
1000,100,5,0.3,0.3,50,100,42,0,1.295
1000,100,10,0.3,0.3,50,100,42,1,180.845
1000,100,12,0.3,0.3,50,100,42,1,180.962
1000,100,16,0.3,0.3,50,100,42,1,181.086
1000,100,20,0.3,0.3,50,100,42,1,181.251
2000,100,5,0.3,0.3,50,100,42,1,180.971
2000,100,10,0.3,0.3,50,100,42,0,11.087
2000,100,12,0.3,0.3,50,100,42,1,181.218
2000,100,16,0.3,0.3,50,100,42,1,181.197
2000,100,20,0.3,0.3,50,100,42,1,181.25
3000,100,5,0.3,0.3,50,100,42,1,180.782
3000,100,10,0.3,0.3,50,100,42,1,180.908
3000,100,12,0.3,0.3,50,100,42,1,181.292
3000,100,16,0.3,0.3,50,100,42,1,181.276
3000,100,20,0.3,0.3,50,100,42,1,181.518
